title,year
"The Breadwinner",2017
"The Mountain Between Us",2017
"The Sense of an Ending",2017
"The House of Tomorrow",2017
"The Dark Tower",2017
"Captain Underpants",2017
"Before I Fall",2017
"The Circle",2017
"A Dog's Purpose",2017
"My Cousin Rachel",2017
"Murder on the Orient Express",2017
"The Dinner",2017
"Everything, Everything",2017
"It",2017
"The Snowman",2017
"Tulip Fever",2017
"Wonder",2017
"Berlin Syndrome",2017
"A Monster Calls",2016
"Billy Lynn's Long Halftime Walk",2016
"How to Be Single",2016
"Live By Night",2016
"Me Before You",2016
"Miss Peregrine's Home for Peculiar Children",2016
"Nerve",2016
"Pride and Prejudice and Zombies",2016
"The 5th Wave",2016
"The BFG",2016
"The Choice",2016
"The Jungle Book",2016
"Ben-Hur",2016
"The Light Between Oceans",2016
"The Ninth Life of Louis Drax",2016
"The Girl on the Train",2016
"Middle School: the Worst Years of My Life",2016
"Arrival",2016
"Fallen",2016
"Cell",2016
"A Hologram for the King",2016
"Still Alice",2014
"Fifty Shades of Grey",2015
"The DUFF",2015
"Serena",2014
"The Longest Ride",2015
"Child 44",2015
"Far from the Madding Crowd",2015
"Paper Towns",2015
"Frankenstein",2015
"The Martian",2015
"Dark Places",2015
"Goosebumps",2015
"Room",2015
"Secret in Their Eyes",2015
"Revenant",2015
"The Secret Scripture",2016
"The Driftless Area",2015
"The World Made Straight",2015
"Into the Forest",2015
"Z for Zachariah",2015
"Inherent Vice",2014
"Before I Go to Sleep",2014
"A Long Way Down",2014
"The Giver",2014
"The Hundred-Foot Journey",2014
"The Fault in Our Stars",2014
"Vampire Academy",2014
"Winter's Tale",2014
"Divergent",2014
"Trash",2014
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014
"The Maze Runner",2014
"Gone Girl",2014
"The Best of Me",2014
"This is Where I Leave You",2014
"Here Be Monsters",2014
"Hector and the Search for Happiness",2014
"If I Stay",2014
"A Walk Among the Tombstones",2014
"Me and Earl and the Dying Girl",2015
"Warm Bodies",2013
"Beautiful Creatures",2013
"Safe Haven",2013
"Admission",2013
"The Host",2013
"The Company You Keep",2013
"Syrup",2013
"The Great Gatsby",2013
"World War Z",2013
"The Spectacular Now",2013
"Paranoia",2013
"Austenland",2013
"The Mortal Instruments: City of Bones",2013
"Horns",2013
"Great Expectations",2013
"Carrie",2013
"Ender's Game",2013
"The Secret Life of Walter Mitty",2013
